....
WiFi connected.
10.202.222.1
t_ms,roll,pitch,yaw,ax,ay,az
8182,61.94,-2.75,57.81,-1.460,-12.670,-3.350
8194,61.25,-2.69,57.44,-0.870,-12.190,-1.520
8207,60.63,-2.50,56.63,-1.840,-8.890,-3.060
8220,58.13,-1.50,55.44,-1.210,-7.340,-2.830
8232,57.00,-1.37,55.38,-1.050,-6.070,-1.700
8244,55.94,-1.44,55.50,-0.990,-5.680,-0.880
8257,55.06,-1.87,55.88,-0.320,-5.840,-0.120
8270,53.19,-2.62,57.13,0.360,-6.140,3.100
8282,52.06,-2.81,57.88,0.870,-6.090,4.000
8294,50.88,-2.94,58.69,0.870,-6.140,5.000
8308,49.75,-3.12,59.56,0.530,-6.090,6.310
8320,47.25,-3.62,61.50,1.800,-6.670,10.270
8332,45.88,-4.00,62.62,2.650,-7.440,11.820
8344,44.31,-4.62,63.87,5.290,-9.020,14.530
8358,42.81,-5.31,65.06,6.600,-9.760,15.880
8370,39.88,-6.62,67.37,8.480,-10.760,17.940
8383,38.63,-7.19,68.31,10.340,-11.630,19.890
8395,37.75,-7.50,68.87,11.230,-11.540,20.700
8408,36.88,-7.87,69.37,11.720,-11.490,21.060
8421,36.06,-7.94,69.31,12.330,-10.210,20.470
8433,36.25,-7.81,68.94,12.360,-9.250,19.560
8445,36.81,-7.69,68.37,11.900,-8.260,18.610
8458,37.75,-7.44,67.69,10.160,-7.100,16.560
8471,40.44,-6.69,65.94,8.030,-5.800,13.860
8483,42.19,-6.44,65.06,5.300,-4.970,11.190
8495,43.75,-6.00,64.19,4.630,-4.880,10.380
8509,45.19,-5.56,63.38,4.520,-4.580,9.810
8521,48.06,-5.00,62.13,2.970,-5.440,8.810
8533,49.50,-4.87,61.56,2.300,-5.410,7.970
8545,51.00,-4.75,60.94,1.900,-5.350,6.950
8559,52.50,-4.50,60.31,0.880,-5.590,5.070
8572,55.63,-3.56,58.75,0.330,-4.890,2.590
8584,57.19,-2.87,58.00,0.160,-4.830,1.470
8596,58.75,-2.12,57.44,0.620,-5.610,0.490
8609,60.19,-1.50,57.06,0.840,-6.300,-0.120
8622,62.75,-0.88,57.13,1.130,-8.370,-1.510
8634,63.94,-0.81,57.44,0.330,-12.460,-2.340
8646,65.12,-0.81,57.69,-1.340,-14.530,-3.550
8659,66.62,-1.12,57.88,-3.150,-15.130,-5.710
8672,69.69,-1.50,58.38,-5.920,-17.760,-8.840
8684,70.44,-0.81,59.00,-6.270,-18.250,-6.900
8696,70.69,0.19,59.50,-8.800,-21.630,-9.490
8710,70.44,1.19,60.06,-11.840,-24.620,-8.280
8722,70.50,0.37,60.38,-12.330,-24.980,-7.850
8734,70.56,-0.88,60.06,-10.280,-21.070,-8.930
8746,70.56,-2.31,59.69,-8.480,-18.780,-8.590
8760,70.19,-3.44,59.25,-6.670,-16.810,-7.600
8772,67.87,-3.75,58.56,-3.250,-12.850,-7.830
8784,66.62,-3.56,58.13,-1.250,-12.540,-8.150
8796,65.31,-3.25,57.62,-2.240,-12.280,-5.430
8833,61.37,-2.31,55.56,-1.040,-9.750,-3.430
8845,60.56,-2.31,55.12,-1.670,-7.250,-4.780
8859,59.44,-2.37,55.12,-0.970,-6.730,-3.430
8871,58.31,-2.44,55.38,0.210,-5.230,-1.260
8884,56.00,-2.56,56.37,-0.220,-4.840,0.730
8896,54.88,-2.62,57.19,0.130,-5.030,2.420
8910,53.69,-2.69,58.13,1.230,-5.430,4.060
8922,52.44,-2.87,59.13,2.730,-6.800,8.270
8935,50.00,-3.62,61.44,2.570,-7.150,9.660
8947,48.69,-4.12,62.69,2.470,-7.400,10.930
8961,47.31,-4.62,64.06,4.370,-7.600,13.580
8973,44.25,-6.00,67.00,8.110,-9.130,17.710
8985,42.75,-6.75,68.50,11.270,-10.800,22.550
8997,41.44,-7.62,69.94,12.940,-11.590,24.800
9011,40.50,-8.38,71.19,13.530,-12.190,26.460
9023,39.69,-9.31,72.37,13.810,-11.110,26.190
9036,39.94,-9.44,72.37,13.680,-10.560,25.210
9048,40.56,-9.25,72.00,12.780,-10.090,23.820
9061,41.56,-8.94,71.31,10.150,-8.740,20.250
9074,44.38,-8.25,69.37,7.670,-6.720,16.160
9086,45.94,-7.87,68.31,6.560,-5.880,14.190
9098,47.56,-7.62,67.25,4.730,-4.650,10.900
9111,49.25,-7.44,66.25,3.400,-4.090,9.540
9124,52.50,-7.00,64.69,1.590,-3.970,7.120
9136,54.13,-6.81,64.06,1.480,-3.820,6.480
9148,55.69,-6.62,63.50,1.590,-3.720,5.660
9162,57.31,-6.44,63.00,1.470,-4.010,4.920
9174,60.63,-6.06,62.38,0.770,-5.050,2.200
9186,62.38,-5.81,62.13,0.220,-5.370,0.850
9198,64.06,-5.44,62.00,-0.320,-6.180,-0.160
9212,65.75,-5.06,61.88,-1.860,-8.260,-1.500
9224,68.37,-4.37,62.00,-2.080,-10.440,-2.330
9236,69.31,-4.25,62.13,1.140,-12.430,-2.860
9248,70.06,-4.25,62.38,3.940,-14.200,-2.920
9262,70.94,-4.37,62.69,0.180,-16.020,-4.100
9275,73.37,-4.19,62.75,-4.260,-15.170,-12.190
9287,76.00,-4.44,62.81,-5.820,-17.280,-12.790
9299,78.19,-3.94,63.06,-9.460,-20.330,-11.020
9312,79.06,-2.87,63.13,-9.380,-25.270,-9.350
9325,77.94,-1.62,63.87,-11.020,-27.050,-9.770
9337,76.75,-2.12,64.19,-10.800,-25.530,-10.770
9349,76.25,-3.50,64.12,-9.040,-19.570,-11.990
9363,76.19,-5.06,63.94,-7.270,-17.450,-11.490
9375,74.19,-6.00,63.56,-3.680,-14.200,-10.450
9387,72.62,-5.56,63.25,-3.710,-13.860,-10.360
9399,70.75,-4.87,63.00,-3.050,-13.290,-9.600
9413,69.06,-4.37,62.62,-1.670,-12.380,-7.940
9426,66.06,-3.62,61.81,0.700,-9.630,-6.350
9438,64.87,-3.37,61.75,0.920,-8.820,-5.910
9450,63.87,-3.06,61.75,0.620,-8.350,-5.510
9463,62.94,-2.75,61.81,-0.310,-7.740,-4.300
9476,60.94,-1.94,62.19,0.300,-6.300,-2.010
9488,59.88,-1.50,62.50,1.190,-4.910,0.530
9500,58.75,-1.12,63.06,1.170,-5.250,1.610
9513,57.50,-0.88,63.75,1.870,-5.230,2.680
9526,54.88,-0.81,65.75,3.590,-7.990,7.420
9538,53.38,-1.00,67.00,5.090,-9.030,9.540
9550,51.81,-1.37,68.31,5.830,-9.700,11.900
9563,50.31,-1.81,69.69,5.980,-10.820,16.580
9576,46.88,-2.94,72.37,10.380,-12.040,22.170
9588,45.00,-3.69,73.56,13.250,-12.350,24.880
9600,43.25,-4.56,74.56,17.460,-12.370,28.050
9614,41.88,-5.44,75.31,17.700,-11.930,28.750
9626,40.81,-6.50,75.62,16.350,-10.230,26.600
9638,41.13,-6.50,75.12,14.950,-9.820,24.850
9650,41.94,-6.25,74.31,13.280,-9.340,22.800
9664,43.13,-5.75,73.12,11.340,-8.640,20.530
9677,46.00,-4.94,70.50,7.310,-6.210,13.910
9689,47.50,-4.62,69.19,5.840,-5.150,11.870
9701,49.06,-4.44,67.94,4.750,-4.220,10.240
9714,50.63,-4.31,66.87,4.610,-3.300,8.100
9727,53.94,-3.94,65.00,2.510,-4.460,6.970
9739,55.69,-3.81,64.19,2.760,-5.270,5.920
9751,57.44,-3.56,63.44,2.620,-5.890,4.850
9764,59.25,-3.44,62.69,0.690,-6.570,3.680
9777,62.69,-3.19,61.19,-2.310,-6.560,-0.450
9789,64.00,-3.06,60.50,-2.320,-5.440,-2.420
