22206,9.94,-1.00,50.56,9.490,-11.640,1.320
22218,8.00,-1.00,50.88,10.010,-11.960,1.120
22232,6.25,-1.00,51.13,10.430,-12.350,0.750
22244,3.12,-1.00,51.50,11.320,-13.140,0.520
22256,1.75,-0.94,51.63,12.730,-13.330,0.230
22268,0.56,-1.00,51.63,13.320,-12.890,-0.070
22282,359.50,-1.06,51.56,13.490,-12.490,-0.620
22294,357.94,-1.12,51.31,13.550,-11.410,-2.320
22307,357.37,-1.12,51.19,13.960,-11.140,-2.400
22319,356.94,-1.06,51.06,14.260,-11.020,-2.120
22333,356.63,-0.94,50.94,14.180,-11.540,-1.180
22345,356.38,-0.75,50.88,14.390,-11.020,0.260
22357,356.38,-0.81,50.88,14.320,-10.470,0.770
22369,356.50,-1.00,50.88,13.710,-9.140,1.370
22383,356.69,-1.25,50.94,13.420,-8.500,1.580
22395,357.56,-1.87,51.13,12.780,-8.010,2.030
22407,358.19,-2.12,51.19,12.640,-7.870,2.360
22419,359.06,-2.44,51.31,12.210,-7.990,2.520
22433,0.13,-2.69,51.44,11.840,-8.060,2.700
22470,6.31,-3.69,51.94,9.330,-7.050,1.210
22483,8.38,-3.87,52.13,8.840,-7.230,0.790
22496,12.94,-4.25,52.75,7.490,-8.330,0.220
22508,15.50,-4.37,53.13,5.720,-9.490,-0.130
22520,18.12,-4.50,53.56,4.360,-10.040,-0.550
22533,20.94,-4.69,54.06,3.310,-10.640,-0.880
22546,26.50,-5.25,55.38,0.280,-12.690,-1.890
22558,29.31,-5.62,56.19,-0.990,-13.440,-2.270
22570,32.25,-6.00,57.06,-2.920,-14.180,-2.460
22584,35.25,-6.25,58.00,-7.460,-15.570,-1.950
22596,41.31,-6.56,59.69,-11.920,-16.750,-0.980
22608,44.25,-6.62,60.38,-17.230,-17.620,-0.720
22620,47.06,-6.62,60.88,-20.110,-17.550,-0.810
22634,49.69,-6.62,61.25,-23.970,-17.900,-1.270
22646,54.19,-6.69,61.75,-33.260,-18.910,-1.190
22658,55.81,-6.75,61.88,-35.620,-18.860,-0.800
22670,57.06,-6.81,61.94,-37.220,-18.610,0.120
22684,57.75,-6.94,61.94,-37.540,-17.750,1.370
22696,57.62,-7.44,61.69,-33.650,-14.120,4.300
22709,56.81,-7.75,61.37,-31.390,-12.870,4.280
22721,55.50,-8.19,60.88,-26.000,-10.520,3.310
22734,53.87,-8.56,60.19,-23.490,-9.550,2.500
22747,49.94,-8.94,58.50,-18.780,-8.610,1.270
22759,47.62,-9.00,57.62,-14.900,-8.550,0.970
22771,45.19,-9.00,56.75,-12.790,-8.480,0.920
22785,42.56,-8.94,55.88,-10.730,-8.330,0.820
22797,37.00,-8.75,54.19,-5.340,-8.590,-0.100
22809,34.06,-8.63,53.38,-3.690,-8.680,-0.580
22821,31.19,-8.44,52.62,-2.320,-8.540,-1.120
22835,28.31,-8.25,51.88,0.330,-8.290,-1.980
22847,22.75,-7.69,50.50,2.830,-7.680,-2.790
22859,20.12,-7.37,49.94,5.510,-7.100,-2.800
22871,17.56,-7.00,49.50,5.910,-7.050,-2.710
22885,15.19,-6.69,49.31,5.940,-7.370,-2.540
22897,10.81,-6.06,49.44,8.360,-10.740,0.260
22910,8.75,-5.81,49.75,9.150,-11.970,1.110
22922,6.87,-5.75,50.12,10.140,-12.370,1.760
22935,5.00,-5.75,50.50,11.510,-13.040,0.760
22948,1.69,-5.81,51.00,13.390,-13.090,-0.170
22960,0.50,-5.69,51.13,14.620,-13.140,-0.290
22972,359.56,-5.50,51.25,15.750,-13.870,-0.360
22986,358.63,-5.37,51.44,16.240,-14.170,-0.310
22998,357.56,-4.62,51.44,17.220,-14.160,-0.350
23010,357.31,-4.25,51.37,17.580,-13.860,-0.140
23022,357.12,-4.06,51.37,17.570,-13.590,0.040
23036,357.19,-4.00,51.37,17.620,-13.180,0.440
23049,357.62,-4.37,51.50,16.570,-11.320,1.720
23061,358.06,-4.75,51.63,15.860,-10.770,1.900
23073,358.69,-5.12,51.75,15.160,-10.310,2.020
23086,359.50,-5.50,51.88,14.460,-9.640,2.270
23099,1.81,-6.12,52.00,13.640,-9.650,2.130
23111,3.31,-6.31,52.06,12.670,-9.590,1.680
23123,5.12,-6.56,52.13,11.920,-9.590,1.340
23136,7.19,-6.69,52.13,10.820,-9.770,0.770
23149,11.88,-6.81,52.25,8.350,-10.090,-0.040
23161,14.38,-6.75,52.31,7.760,-9.980,-0.290
23173,17.06,-6.75,52.50,6.940,-9.980,-0.630
23186,19.87,-6.81,52.69,4.840,-10.310,-1.440
23199,25.75,-6.94,53.50,2.250,-11.010,-1.600
23211,28.75,-7.12,54.13,1.190,-11.790,-1.360
23223,31.75,-7.25,54.81,-0.870,-14.370,-1.420
23237,34.81,-7.44,55.44,-2.750,-15.710,-1.920
23249,41.19,-7.44,56.50,-7.880,-16.780,-1.980
23261,44.25,-7.31,56.81,-9.470,-15.690,-1.830
23273,47.38,-7.19,57.13,-11.630,-14.210,-1.770
23287,50.31,-7.06,57.38,-14.430,-12.900,-1.690
23299,55.69,-7.00,58.19,-23.130,-12.730,-0.940
23312,57.81,-7.06,58.69,-25.370,-13.380,-0.430
23324,59.56,-7.25,59.13,-27.110,-13.870,-0.080
23337,60.94,-7.37,59.56,-29.640,-14.320,0.440
23350,62.88,-7.44,60.00,-32.300,-13.780,0.850
23362,63.38,-7.25,59.94,-32.770,-13.150,1.980
23374,63.38,-7.06,59.88,-32.090,-12.740,2.660
23388,63.00,-6.94,59.69,-30.890,-12.470,3.370
23400,60.88,-7.06,59.19,-24.960,-10.820,3.620
23412,59.31,-7.25,58.81,-22.670,-10.070,3.400
23424,57.50,-7.37,58.38,-20.770,-9.630,2.960
23438,55.44,-7.44,57.88,-17.670,-9.090,2.140
23475,45.63,-7.69,55.69,-11.110,-9.890,-0.830
23488,42.75,-7.75,55.06,-9.590,-9.770,-1.820
23501,36.81,-7.62,53.87,-5.120,-9.970,-3.860
23513,33.88,-7.44,53.38,-3.900,-10.240,-4.170
23525,30.94,-7.19,52.94,-2.680,-10.540,-4.520
23538,27.94,-6.87,52.56,-1.040,-10.990,-4.580
23551,22.13,-6.31,52.25,2.680,-12.460,-3.800
23563,19.31,-6.12,52.25,3.650,-12.900,-3.450
23575,16.50,-6.00,52.31,5.810,-13.400,-2.470
23588,13.81,-5.87,52.44,6.470,-13.730,-1.730
23601,8.69,-5.62,52.69,9.810,-14.450,-0.740
23613,6.31,-5.56,52.88,12.700,-16.200,0.830
23625,4.06,-5.62,53.06,14.200,-16.570,1.040
23639,2.00,-5.75,53.13,15.440,-16.520,0.760
23651,358.56,-5.94,53.06,16.740,-14.850,-1.430
23663,357.19,-5.81,53.00,17.130,-14.460,-2.050
23675,355.94,-5.44,52.88,17.970,-14.270,-1.990
23689,354.87,-4.75,52.75,19.680,-14.690,-1.130
23701,352.50,-2.50,52.94,19.980,-14.480,-1.220
23714,351.44,-1.37,52.31,17.460,-15.370,0.940
23726,351.31,-0.88,52.13,21.420,-11.480,0.000
23739,351.44,-1.12,52.13,20.060,-12.290,0.320
23752,353.50,-3.56,51.37,17.640,-9.460,2.460
23764,354.44,-4.25,51.31,16.670,-9.470,1.630
23776,355.44,-4.62,51.31,16.650,-8.960,1.550
23790,356.69,-4.94,51.19,16.220,-8.820,1.060
23802,0.19,-5.44,51.00,12.680,-9.390,-0.120
23814,2.37,-5.50,50.88,11.350,-9.380,-0.640
23826,4.81,-5.44,50.69,9.480,-9.160,-1.430
23840,7.37,-5.37,50.50,8.600,-9.390,-1.680
23852,13.25,-5.62,50.38,6.650,-9.410,-1.860
23864,16.37,-5.81,50.50,3.380,-10.180,-2.330
23876,19.44,-5.94,50.75,1.640,-10.850,-2.330
23890,22.56,-6.12,51.13,-0.580,-11.640,-2.240
23902,28.62,-6.69,52.00,-7.800,-14.570,-1.700
23915,31.94,-6.94,52.56,-10.420,-15.730,-1.790
23927,35.31,-7.12,53.06,-13.080,-16.610,-1.810
