114989,225.50,32.06,21.12,5.170,-2.920,7.760
115001,225.50,32.06,21.12,5.160,-2.900,7.730
115013,225.50,32.06,21.12,5.180,-2.900,7.770
115025,225.50,32.06,21.12,5.180,-2.920,7.750
115039,225.50,32.06,21.12,5.170,-2.900,7.750
115051,225.50,32.06,21.12,5.160,-2.890,7.730
115064,225.50,32.06,21.12,5.160,-2.900,7.750
115077,225.50,32.06,21.12,5.190,-2.900,7.760
115091,225.50,32.06,21.12,5.180,-2.900,7.750
115103,225.50,32.06,21.12,5.190,-2.940,7.730
115116,225.50,32.06,21.12,5.170,-2.920,7.780
115129,225.50,32.06,21.12,5.170,-2.910,7.750
115142,225.50,32.06,21.12,5.180,-2.910,7.760
115154,225.50,32.06,21.12,5.160,-2.910,7.740
115168,225.50,32.06,21.12,5.170,-2.940,7.720
115181,225.50,32.06,21.12,5.170,-2.920,7.770
115193,225.50,32.06,21.12,5.160,-2.900,7.750
115206,225.50,32.06,21.12,5.160,-2.900,7.730
115220,225.50,32.06,21.12,5.160,-2.890,7.760
115232,225.50,32.06,21.12,5.170,-2.910,7.760
115246,225.50,32.06,21.12,5.170,-2.920,7.750
115260,225.50,32.06,21.12,5.180,-2.900,7.740
115273,225.50,32.06,21.12,5.190,-2.910,7.760
115285,225.50,32.06,21.12,5.180,-2.920,7.750
115300,225.50,32.06,21.12,5.160,-2.910,7.750
115313,225.50,32.06,21.12,5.170,-2.900,7.750
115325,225.50,32.06,21.12,5.190,-2.890,7.760
115339,225.50,32.06,21.12,5.160,-2.910,7.770
115352,225.50,32.06,21.12,5.180,-2.920,7.740
115364,225.50,32.06,21.12,5.190,-2.900,7.760
115376,225.50,32.06,21.12,5.180,-2.930,7.750
115390,225.50,32.06,21.12,5.170,-2.930,7.760
115403,225.50,32.06,21.12,5.180,-2.900,7.740
115415,225.50,32.06,21.12,5.170,-2.910,7.740
115427,225.50,32.06,21.12,5.170,-2.930,7.750
115441,225.50,32.06,21.12,5.170,-2.920,7.750
115453,225.50,32.06,21.12,5.200,-2.910,7.740
115466,225.50,32.06,21.12,5.170,-2.910,7.720
115479,225.50,32.06,21.12,5.170,-2.900,7.760
115493,225.50,32.06,21.12,5.180,-2.910,7.770
115529,225.50,32.06,21.12,5.180,-2.920,7.750
115543,225.50,32.06,21.12,5.180,-2.900,7.730
115555,225.50,32.06,21.12,5.190,-2.930,7.730
115568,225.50,32.06,21.12,5.170,-2.920,7.750
115580,225.50,32.06,21.12,5.180,-2.920,7.780
115594,225.50,32.06,21.12,5.170,-2.920,7.750
115606,225.50,32.06,21.12,5.180,-2.910,7.780
115620,225.50,32.06,21.12,5.170,-2.920,7.750
115633,225.50,32.06,21.12,5.170,-2.920,7.750
115646,225.50,32.06,21.12,5.170,-2.920,7.780
115659,225.50,32.06,21.12,5.180,-2.900,7.740
115674,225.50,32.06,21.12,5.180,-2.900,7.750
115686,225.50,32.06,21.12,5.170,-2.930,7.770
115699,225.50,32.06,21.12,5.180,-2.930,7.760
115713,225.50,32.06,21.12,5.170,-2.910,7.730
115725,225.50,32.06,21.12,5.160,-2.890,7.730
115737,225.50,32.06,21.12,5.170,-2.920,7.760
115751,225.50,32.06,21.12,5.160,-2.910,7.780
115764,225.50,32.06,21.12,5.180,-2.910,7.760
115776,225.50,32.06,21.12,5.180,-2.930,7.740
115789,225.50,32.06,21.12,5.170,-2.910,7.740
115803,225.50,32.06,21.12,5.180,-2.910,7.760
115815,225.50,32.06,21.12,5.160,-2.920,7.720
115828,225.50,32.06,21.12,5.180,-2.920,7.770
115842,225.50,32.06,21.12,5.180,-2.900,7.760
115855,225.50,32.06,21.12,5.190,-2.920,7.750
115867,225.50,32.06,21.12,5.180,-2.920,7.740
115879,225.50,32.06,21.12,5.170,-2.900,7.750
115893,225.50,32.06,21.12,5.190,-2.910,7.730
