345.25,-35.00,58.00,-11.960,-13.080,5.990
128970,334.94,-14.06,43.81,1.820,-4.430,4.740
128982,336.56,-12.25,43.00,6.570,-0.030,5.390
128995,337.00,-11.44,42.75,6.060,-0.170,7.250
129007,337.19,-10.88,42.56,9.260,0.540,5.710
129021,337.19,-10.56,42.56,7.640,1.310,6.260
129033,337.25,-10.63,42.56,6.980,-0.240,3.220
129045,337.00,-10.56,42.69,7.130,0.000,4.230
129057,336.87,-10.50,42.75,3.870,-3.240,3.310
129071,336.69,-10.56,42.81,3.150,-5.080,3.140
129083,335.31,-11.44,43.19,1.430,-5.400,7.140
129095,334.75,-12.06,43.38,-2.710,-7.050,7.880
129107,334.25,-12.75,43.63,-6.090,-8.790,8.410
129121,333.63,-13.50,43.94,-7.530,-10.470,9.500
129133,332.81,-14.69,44.50,-16.310,-15.250,9.100
129145,332.62,-14.94,44.63,-17.060,-17.480,8.240
129157,332.25,-15.00,44.56,-15.470,-17.080,8.260
129171,331.81,-14.87,44.50,-11.820,-15.250,10.380
129183,331.81,-13.69,44.13,-6.650,-10.350,9.300
129195,332.00,-12.50,43.75,-7.980,-7.490,6.310
129207,332.56,-11.50,43.38,-2.650,-7.300,4.830
129221,333.38,-10.31,43.00,-3.590,-6.870,5.560
129233,335.00,-7.94,42.31,1.680,-2.890,6.080
129246,335.69,-6.94,42.06,5.460,-1.320,6.170
129258,336.06,-6.12,41.94,9.620,-1.410,5.730
129272,336.00,-5.44,42.06,12.320,-0.560,6.480
129284,335.69,-4.81,42.19,6.000,-1.970,2.960
129296,336.31,-4.94,42.13,5.590,-2.590,0.930
129308,336.94,-5.12,42.06,8.010,-1.360,3.420
129322,337.56,-5.06,42.13,7.690,-1.820,4.600
129334,338.12,-4.87,42.31,4.480,-3.460,5.040
129346,337.81,-5.12,42.69,3.220,-3.610,8.040
129358,337.50,-5.50,43.13,1.330,-5.300,8.910
129372,337.19,-6.12,43.56,-1.630,-6.250,9.200
129384,336.50,-7.37,44.38,-10.610,-10.140,10.160
129396,336.25,-8.06,44.69,-12.900,-15.150,8.490
129408,335.88,-8.56,44.88,-16.830,-14.260,7.760
129422,335.63,-8.81,45.00,-15.690,-16.770,8.260
129434,334.87,-8.88,45.12,-12.220,-13.620,10.320
129446,334.69,-8.38,45.00,-7.530,-10.810,9.070
129458,334.56,-7.37,44.75,-10.500,-9.610,8.510
129472,334.75,-6.56,44.25,-2.990,-8.410,5.090
129484,335.56,-4.56,43.31,1.670,-3.580,4.980
129497,336.06,-3.69,42.81,4.550,-4.300,5.890
129509,336.50,-3.00,42.38,9.940,-1.580,5.970
129523,336.44,-2.50,42.13,14.120,-1.250,6.650
129535,335.38,-1.94,41.88,9.590,-0.360,5.200
129547,335.44,-2.25,41.75,7.450,-0.130,3.670
129559,335.81,-2.87,41.50,7.920,0.820,2.930
129573,336.12,-3.25,41.37,7.840,0.900,4.360
129585,335.94,-3.19,41.50,5.680,-2.360,2.810
129597,335.25,-3.56,41.81,4.430,-4.020,4.670
129609,334.25,-4.25,42.19,2.890,-3.450,6.120
129623,333.31,-5.12,42.62,-0.110,-4.870,6.110
129635,331.69,-7.00,43.38,-6.310,-9.700,9.420
129647,330.94,-8.00,43.81,-8.490,-13.720,9.280
129659,330.19,-8.94,44.25,-9.240,-12.250,10.740
129673,329.69,-9.69,44.56,-15.670,-14.580,9.980
129685,329.06,-10.25,44.75,-14.610,-15.910,8.530
129697,328.56,-10.31,44.75,-11.540,-15.240,9.970
129709,328.31,-10.06,44.50,-9.270,-13.020,9.350
129723,328.31,-9.44,44.19,-6.730,-11.080,8.930
129735,328.37,-7.56,43.25,-1.940,-6.830,5.400
129748,328.94,-6.56,42.69,-1.670,-6.830,5.540
129760,329.63,-5.50,42.06,0.410,-4.220,4.400
129774,330.44,-4.50,41.50,4.200,-3.100,4.430
129786,331.63,-3.06,40.63,13.740,-0.740,6.840
129798,331.31,-2.62,40.50,14.660,1.100,5.790
129810,330.87,-2.44,40.44,8.990,0.250,4.740
129824,330.87,-2.75,40.31,6.750,0.710,3.050
129836,331.56,-3.75,40.19,6.960,0.780,2.280
129848,331.69,-3.87,40.38,4.930,-3.460,2.370
129860,331.50,-4.06,40.69,5.910,-2.720,2.910
129874,330.94,-4.50,41.13,4.960,-5.190,4.660
129910,328.62,-7.69,43.38,-7.610,-12.540,9.430
129924,328.12,-8.69,43.87,-12.440,-14.870,9.870
129936,327.62,-10.00,44.63,-17.080,-16.760,9.610
129948,327.38,-10.25,44.81,-16.370,-17.390,9.240
129960,326.94,-10.44,44.94,-13.840,-15.670,9.660
129974,326.94,-10.31,44.88,-8.410,-14.900,8.900
129986,327.13,-8.69,44.25,-4.410,-9.250,5.660
129999,327.75,-7.94,43.75,-4.400,-8.990,8.480
130011,328.50,-6.87,43.31,-1.190,-6.420,7.130
130025,329.44,-5.81,42.81,2.060,-3.420,6.770
130037,330.87,-4.06,41.94,14.790,-0.880,4.960
130049,330.37,-3.31,41.81,14.500,3.080,4.860
130061,329.87,-2.87,41.81,7.910,-1.500,3.450
130075,330.06,-2.87,41.69,6.130,-1.500,0.980
130087,331.38,-3.87,41.31,7.360,-1.050,1.690
130099,332.06,-4.19,41.31,6.070,-2.110,4.040
130111,332.62,-4.12,41.37,5.170,-4.010,3.570
130125,332.81,-4.19,41.50,4.350,-3.000,4.320
130137,332.12,-5.25,42.38,0.350,-4.320,6.720
130149,331.69,-6.12,42.75,-2.810,-5.770,7.400
130161,331.31,-7.06,43.19,-5.380,-7.130,7.210
130175,330.94,-8.06,43.63,-9.730,-11.170,8.820
130187,330.31,-9.81,44.56,-16.440,-15.680,8.570
130199,330.00,-10.38,44.81,-17.800,-16.980,8.690
130211,329.56,-10.69,44.88,-13.610,-18.780,10.530
130225,329.06,-10.81,44.94,-11.310,-16.970,10.270
130237,329.00,-9.94,44.44,-8.510,-11.420,9.160
130249,329.56,-8.81,43.94,-5.230,-10.000,7.490
130261,330.31,-7.69,43.44,-4.510,-7.170,8.250
130275,331.25,-6.50,42.94,-1.060,-7.270,6.940
130287,332.12,-5.44,42.44,6.800,-1.080,5.660
130300,333.44,-3.62,41.63,13.220,-0.730,5.190
130312,332.87,-2.81,41.44,12.180,2.000,5.400
130326,332.44,-2.19,41.37,7.360,-1.480,2.940
130338,333.06,-2.56,41.19,6.270,-1.560,1.280
130350,333.63,-3.12,41.31,7.480,-0.860,4.360
130362,334.12,-3.50,41.50,6.720,-0.840,5.120
130376,334.56,-3.56,41.75,4.860,-1.540,4.520
130388,334.62,-3.94,42.50,3.970,-4.010,4.950
130400,334.19,-4.56,43.00,2.630,-4.290,5.700
130412,333.75,-5.37,43.31,0.780,-3.890,5.200
130426,333.31,-6.37,43.69,-3.450,-7.280,6.090
130438,332.69,-8.50,44.44,-7.420,-10.630,8.950
130450,332.37,-9.56,44.88,-10.510,-13.620,9.640
130462,332.12,-10.50,45.19,-13.170,-16.330,10.130
130476,331.81,-11.25,45.38,-17.220,-15.990,9.700
130488,331.25,-11.81,45.38,-13.020,-14.680,10.620
130501,330.94,-11.69,45.31,-10.410,-13.090,10.340
130513,331.00,-11.19,45.06,-7.230,-12.070,9.430
130527,331.19,-10.31,44.75,-5.770,-12.130,8.060
130539,332.19,-8.31,43.69,-2.430,-6.980,6.150
130551,333.00,-7.19,43.13,-0.880,-5.250,6.120
130563,334.00,-6.12,42.56,2.680,-2.540,6.890
130577,334.81,-5.12,42.13,8.080,-0.090,6.330
130589,335.81,-4.00,41.44,12.670,0.840,6.170
130601,335.50,-3.69,41.25,9.100,2.160,4.960
130613,335.25,-3.62,41.19,4.670,0.170,3.340
130627,335.50,-4.12,41.13,4.830,0.000,0.760
130639,335.56,-5.25,41.19,6.310,-1.420,3.910
130651,335.50,-5.50,41.44,4.900,-3.320,3.340
130663,335.56,-5.81,41.56,3.330,-5.590,2.460
130677,335.19,-6.31,41.75,2.800,-6.270,7.780
130690,334.25,-7.69,42.50,-0.750,-8.940,9.450
130702,333.94,-8.44,42.75,-4.430,-9.760,10.720
130714,333.69,-9.31,43.13,-8.900,-12.210,12.050
130728,333.44,-10.06,43.38,-9.740,-13.460,11.340
130740,333.31,-11.06,43.50,-14.620,-14.800,8.540
