293040,342.19,-21.81,-5.62,-4.370,0.340,7.980
293052,342.06,-21.56,-5.62,-3.990,0.110,7.970
293066,341.81,-21.25,-5.62,-2.910,-0.050,8.410
293078,341.56,-20.56,-5.50,-1.920,-0.170,9.080
293090,341.44,-20.25,-5.44,-1.450,-0.550,9.640
293102,341.31,-19.81,-5.44,-1.590,-0.310,9.450
293116,341.12,-19.44,-5.50,-1.580,-0.170,8.990
293128,340.69,-18.87,-5.69,-1.060,0.580,8.510
293140,340.44,-18.75,-5.75,-1.160,0.450,8.290
293152,340.25,-18.62,-5.75,-1.400,0.450,8.220
293166,340.12,-18.44,-5.75,-2.490,0.590,8.180
293178,339.56,-18.69,-5.69,-4.680,-0.190,8.360
293190,339.31,-18.81,-5.69,-4.450,0.090,8.860
293202,339.00,-19.00,-5.75,-4.310,0.070,9.150
293216,338.69,-19.25,-5.81,-3.990,0.470,9.440
293228,338.12,-19.56,-6.00,-3.570,1.400,9.610
293241,337.75,-19.56,-6.06,-3.020,2.010,9.870
293253,337.38,-19.44,-6.06,-3.450,2.540,10.020
293267,337.12,-19.31,-6.06,-3.570,3.250,10.050
293279,336.37,-19.06,-6.12,-3.750,3.780,8.920
293291,335.88,-18.81,-6.19,-3.840,3.570,8.800
293303,335.31,-18.50,-6.31,-3.660,2.580,8.530
293317,334.75,-18.19,-6.44,-2.480,0.460,9.290
293329,333.44,-18.19,-6.75,-0.620,0.060,8.980
293341,332.62,-18.37,-6.94,-0.210,0.100,8.940
293353,331.75,-18.69,-7.00,1.600,0.020,8.110
293367,330.94,-18.94,-7.06,1.690,0.620,8.370
293379,329.31,-19.00,-7.00,1.510,2.440,8.730
293391,328.31,-18.75,-7.06,0.790,2.090,8.180
293403,327.25,-18.44,-7.00,0.320,0.970,8.150
293417,326.12,-18.12,-7.00,0.090,-0.300,7.880
293429,324.06,-17.37,-6.81,-6.400,2.070,11.120
293441,323.25,-17.06,-6.81,-7.060,1.270,10.460
293453,322.69,-16.81,-6.81,-8.220,1.270,9.990
293467,322.12,-16.56,-6.75,-10.950,2.900,11.010
293479,321.31,-16.25,-6.75,-9.960,4.880,11.740
293491,321.00,-16.31,-6.94,-9.370,2.070,10.450
293503,320.56,-16.62,-7.19,-8.370,1.640,10.780
293517,320.12,-17.06,-7.56,-5.730,0.990,10.370
293529,318.81,-17.69,-8.50,-1.980,-0.070,9.490
293568,316.19,-17.81,-10.19,1.370,1.590,10.900
293580,314.69,-17.31,-10.63,4.020,0.340,8.320
293592,313.87,-17.25,-10.81,4.110,0.200,9.580
293604,313.00,-17.19,-10.94,4.650,-0.460,9.340
293618,312.06,-17.06,-11.12,3.630,0.130,10.210
293630,310.50,-16.87,-11.25,1.720,2.340,10.530
293642,310.00,-16.75,-11.25,-0.340,2.540,10.050
293654,309.56,-16.62,-11.19,-2.150,1.910,11.070
293668,308.94,-16.56,-11.25,-9.800,4.060,10.820
293680,307.31,-16.50,-11.50,-14.310,5.340,7.960
293692,306.44,-16.06,-11.56,-14.550,6.370,8.640
293704,305.69,-15.44,-11.75,-13.920,4.580,10.130
293718,305.00,-14.75,-11.94,-7.420,2.890,7.030
293730,303.37,-13.25,-12.13,-5.030,3.380,10.660
293743,302.50,-12.81,-12.37,-1.510,3.090,11.890
293755,301.62,-12.37,-12.63,0.920,3.110,6.760
293769,300.87,-11.94,-12.81,2.920,2.350,8.800
293781,299.69,-11.50,-13.19,6.590,1.320,7.810
293793,299.12,-11.44,-13.19,6.470,0.920,7.760
293805,298.56,-11.56,-13.25,7.430,1.130,7.730
293819,298.00,-11.75,-13.25,7.720,1.590,8.780
293831,296.87,-12.44,-13.44,3.820,-0.470,8.840
293843,296.37,-12.81,-13.50,3.910,-0.420,8.770
293855,295.88,-13.06,-13.50,3.200,-0.340,9.930
293869,295.56,-13.38,-13.50,-0.300,0.360,9.860
293881,295.06,-13.88,-13.44,-5.680,6.550,11.640
293893,294.81,-13.81,-13.31,-12.210,6.360,8.610
293905,294.56,-13.62,-13.31,-13.970,6.330,8.180
293919,294.31,-13.31,-13.31,-14.520,6.770,7.960
293931,294.00,-12.06,-13.13,-11.110,3.280,8.590
293943,293.75,-11.44,-13.06,-8.720,2.100,10.360
293955,293.25,-10.75,-13.19,-5.800,2.670,11.610
293969,292.56,-10.06,-13.50,-2.640,2.050,9.020
293981,291.63,-9.69,-13.94,1.350,1.730,8.100
293993,291.56,-9.94,-14.06,9.700,-1.680,7.760
294005,291.69,-10.00,-13.75,10.460,-2.910,9.720
294019,291.75,-9.81,-13.31,10.940,-2.150,11.460
294031,290.75,-9.56,-13.44,5.600,1.600,7.750
294044,290.00,-9.38,-13.88,6.300,1.580,7.640
294056,289.50,-9.50,-14.13,5.870,0.520,8.430
294070,289.25,-9.63,-14.25,4.280,0.370,10.090
294082,289.06,-10.06,-14.06,-2.040,2.810,10.370
294094,288.94,-10.31,-13.81,-2.140,4.840,9.550
294106,288.87,-10.44,-13.50,-7.240,6.100,9.180
294120,288.81,-10.50,-13.13,-10.280,6.320,10.030
294132,288.31,-10.56,-12.63,-14.020,6.030,8.230
294144,288.06,-10.25,-12.31,-11.070,5.940,9.130
294156,287.94,-9.75,-12.06,-10.810,3.880,9.510
294170,287.81,-9.06,-11.94,-9.120,3.920,10.300
294182,287.50,-7.44,-12.13,-2.910,1.280,10.080
294194,287.56,-7.19,-12.13,0.530,1.630,10.380
294206,287.81,-7.06,-12.13,2.710,-0.020,8.520
294220,288.12,-6.94,-11.94,7.970,-2.120,9.760
294232,288.81,-6.62,-11.12,10.460,-1.780,10.420
294244,288.69,-6.50,-11.12,6.550,2.090,8.800
294256,288.25,-6.44,-11.38,8.000,2.120,7.560
294270,287.94,-6.44,-11.56,6.810,1.250,8.540
294282,287.81,-6.94,-11.69,4.720,-1.100,9.830
294295,287.69,-7.19,-11.69,-1.060,1.720,11.160
294307,287.63,-7.44,-11.63,0.030,1.740,9.420
294321,287.50,-7.37,-11.50,-5.460,6.080,11.930
294333,287.38,-7.56,-11.25,-13.370,5.640,9.050
294345,287.12,-7.44,-11.12,-15.170,5.440,8.110
294357,286.87,-7.00,-11.00,-12.390,6.280,8.560
294371,286.69,-6.31,-10.75,-10.580,4.130,9.440
294383,286.56,-4.75,-10.44,-5.350,0.990,12.200
294395,286.25,-3.87,-10.56,-2.210,0.480,9.910
294407,285.94,-3.00,-10.75,-0.310,0.640,9.450
294421,285.75,-1.87,-11.00,3.890,-0.090,8.830
294433,286.56,0.62,-10.50,14.530,-2.970,8.970
294445,287.00,1.25,-10.25,8.830,-5.570,9.880
294457,286.87,1.31,-10.38,4.700,-3.580,8.170
294471,286.44,0.94,-10.63,7.690,3.200,8.430
294483,286.00,0.37,-11.00,8.300,-0.060,7.630
294495,286.25,0.50,-10.94,4.730,-1.720,9.470
294507,286.75,0.88,-10.81,1.840,-1.390,12.930
294521,287.25,1.06,-10.88,-3.280,-0.470,11.150
294533,287.88,1.12,-10.88,-8.780,3.760,11.440
294571,288.44,1.62,-11.31,-11.780,5.180,10.090
294583,288.75,2.94,-11.44,-6.230,3.340,8.430
294596,288.81,3.75,-11.44,-4.290,3.210,10.010
294608,288.94,4.62,-11.50,0.600,1.710,7.730
294622,289.12,5.56,-11.50,0.850,0.830,8.500
294634,289.31,7.37,-11.12,3.620,-0.690,8.530
294646,289.38,8.19,-10.94,11.980,-0.520,6.380
294658,289.50,9.06,-10.69,11.590,0.050,9.840
294672,290.12,9.38,-10.50,12.380,-4.620,8.860
294684,290.75,9.50,-10.50,7.580,-3.470,9.150
294696,290.87,9.38,-10.63,7.960,-3.070,9.410
294708,290.94,9.19,-10.81,6.560,-1.400,9.920
294722,291.12,8.81,-11.00,3.810,0.110,9.580
294734,291.50,8.69,-11.00,-0.620,3.100,10.470
294746,291.69,8.69,-10.94,-3.680,4.540,9.170
294758,291.81,8.63,-10.88,-7.690,6.930,8.390
294772,291.94,8.69,-10.81,-8.920,7.860,8.740
294784,292.37,9.25,-10.56,-4.930,5.570,9.410
294796,292.69,9.75,-10.44,-4.020,4.130,8.210
294808,292.94,10.31,-10.38,-3.530,2.800,8.830
294822,293.19,10.81,-10.31,-1.140,2.470,9.000
294834,293.69,11.81,-10.44,5.920,0.000,8.050
294847,293.94,12.31,-10.50,7.190,-0.630,7.500
294859,294.25,12.75,-10.50,10.420,-2.200,7.960
294873,294.56,13.13,-10.44,10.950,-2.410,8.210
294885,294.94,13.00,-10.13,9.410,-1.840,8.900
294897,295.00,12.63,-9.94,9.940,1.580,9.280
294909,295.06,12.25,-9.75,9.210,1.170,9.830
294923,295.19,11.88,-9.50,7.870,-0.740,10.040
