frame,t_ms,wrist_x,wrist_y,index_mcp_x,index_mcp_y,middle_mcp_x,middle_mcp_y,ring_mcp_x,ring_mcp_y,hand_score,handedness
88,3081.289,0.207433,0.757683,0.240212,0.504168,0.202107,0.522228,0.174120,0.568448,0.9987,Right
89,3114.600,0.195375,0.768698,0.226305,0.516941,0.187863,0.536616,0.159245,0.584177,0.9990,Right
90,3147.922,0.182330,0.774512,0.204668,0.539484,0.166970,0.565397,0.139234,0.611985,0.9989,Right
91,3181.233,0.172399,0.783748,0.189736,0.563032,0.151760,0.587808,0.124350,0.634930,0.9986,Right
92,3214.544,0.158634,0.801482,0.173457,0.587141,0.133480,0.612451,0.104764,0.658012,0.9982,Right
93,3247.867,0.144894,0.815034,0.158844,0.598011,0.119171,0.624651,0.090897,0.669352,0.9983,Right
94,3281.178,0.131556,0.837871,0.153062,0.641228,0.113536,0.659508,0.082949,0.698073,0.9973,Right
95,3314.489,0.122297,0.860456,0.115302,0.661563,0.083372,0.702146,0.059904,0.751340,0.9985,Right
96,3347.811,0.116579,0.880522,0.101946,0.676634,0.068164,0.718884,0.043817,0.766954,0.9923,Right
97,3381.122,0.106316,0.887564,0.089376,0.693439,0.055118,0.733950,0.031006,0.781463,0.9922,Right
98,3414.433,0.092539,0.913436,0.061770,0.718189,0.028714,0.766405,0.007173,0.818296,0.9876,Right
99,3447.756,0.082278,0.930143,0.056578,0.766626,0.024208,0.809921,0.002963,0.856446,0.9886,Right
100,3481.067,0.088467,0.928544,0.054440,0.775200,0.025312,0.811329,0.007211,0.853809,0.9863,Right
101,3514.378,0.085483,0.941431,0.044275,0.794835,0.018048,0.826502,0.003374,0.865991,0.9915,Right
102,3547.689,,,,,,,,,,
103,3581.011,0.071174,0.979080,0.029807,0.827489,0.008606,0.847744,-0.004262,0.880980,0.9668,Right
104,3614.322,,,,,,,,,,
105,3647.633,,,,,,,,,,
106,3680.956,,,,,,,,,,
107,3714.267,,,,,,,,,,
108,3747.578,,,,,,,,,,
109,3780.900,,,,,,,,,,
110,3814.211,,,,,,,,,,
111,3847.522,,,,,,,,,,
112,3880.844,,,,,,,,,,
113,3914.156,,,,,,,,,,
114,3947.467,,,,,,,,,,
115,3980.789,,,,,,,,,,
116,4014.100,,,,,,,,,,
117,4047.411,,,,,,,,,,
118,4080.733,,,,,,,,,,
119,4114.044,,,,,,,,,,
120,4147.356,,,,,,,,,,
121,4180.667,,,,,,,,,,
122,4213.989,,,,,,,,,,
123,4247.300,0.035734,0.859646,0.133381,0.740240,0.105888,0.763677,0.068132,0.793140,0.5945,Right
124,4280.611,0.060700,0.775248,0.128075,0.648971,0.088247,0.687828,0.050209,0.728549,0.5959,Right
125,4313.933,0.073407,0.764826,0.143560,0.682738,0.115707,0.701206,0.085552,0.714003,0.9445,Left
126,4347.244,0.072429,0.627732,0.172786,0.466401,0.128643,0.502889,0.084805,0.543850,0.8329,Right
127,4380.556,0.095742,0.591671,0.165092,0.410636,0.131197,0.420224,0.095561,0.455174,0.9727,Right
128,4413.878,0.108236,0.552409,0.173050,0.315691,0.131497,0.300441,0.092026,0.314719,0.9988,Right
129,4447.189,0.115394,0.503285,0.187224,0.235141,0.144058,0.221480,0.104482,0.235518,0.9952,Right
130,4480.500,0.121670,0.438273,0.205162,0.171753,0.162784,0.157108,0.122299,0.170267,0.9932,Right
131,4513.822,0.128803,0.374020,0.216939,0.124976,0.172639,0.109825,0.131004,0.122618,0.9952,Right
132,4547.133,0.140208,0.337543,0.225523,0.090734,0.182105,0.074828,0.141043,0.085499,0.9958,Right
133,4580.444,0.146086,0.312389,0.233916,0.065528,0.191149,0.047340,0.150108,0.056409,0.9968,Right
134,4613.767,0.147888,0.298056,0.242302,0.053220,0.199635,0.030269,0.157679,0.035978,0.9970,Right
135,4647.078,0.153288,0.282612,0.249752,0.051173,0.208093,0.024069,0.167197,0.025035,0.9965,Right
136,4680.389,0.153699,0.279203,0.254542,0.045317,0.213053,0.019941,0.171525,0.022288,0.9966,Right
137,4713.711,0.156971,0.287526,0.257651,0.049475,0.215692,0.022774,0.173126,0.024864,0.9972,Right
138,4747.022,0.159522,0.298734,0.260368,0.056128,0.218764,0.031442,0.175745,0.037010,0.9971,Right
139,4780.333,0.155175,0.326343,0.256751,0.081234,0.214961,0.056612,0.172058,0.063044,0.9975,Right
140,4813.656,0.149952,0.372535,0.254993,0.126132,0.211643,0.102540,0.167779,0.110189,0.9970,Right
141,4846.967,0.148749,0.427241,0.244645,0.175954,0.201386,0.157866,0.157899,0.171855,0.9974,Right
142,4880.278,0.147318,0.484902,0.240100,0.241767,0.194288,0.227094,0.147857,0.246887,0.9981,Right
143,4913.589,0.136991,0.530575,0.222959,0.317845,0.176632,0.313318,0.132454,0.341494,0.9941,Right
144,4946.911,0.142217,0.626921,0.227958,0.399251,0.176503,0.398990,0.128720,0.436582,0.9918,Right
145,4980.222,0.138437,0.693383,0.217328,0.505316,0.162815,0.513317,0.114369,0.555540,0.9730,Right
146,5013.533,0.125623,0.764583,0.212123,0.604074,0.154242,0.619079,0.103799,0.662234,0.9765,Right
147,5046.856,0.124615,0.846287,0.211394,0.702178,0.152245,0.716517,0.099369,0.761358,0.9759,Right
148,5080.167,0.118327,0.920775,0.212973,0.794637,0.152801,0.795241,0.096350,0.820160,0.7128,Right
149,5113.478,0.160574,0.868605,0.113462,0.875821,0.155978,0.885888,0.195818,0.897715,0.9021,Left
150,5146.800,,,,,,,,,,
151,5180.111,,,,,,,,,,
152,5213.422,,,,,,,,,,
153,5246.744,,,,,,,,,,
154,5280.056,,,,,,,,,,
155,5313.367,0.091656,0.871790,0.179127,0.809135,0.123625,0.815176,0.078428,0.845487,0.9670,Right
156,5346.689,0.069806,0.853512,0.175243,0.713955,0.120196,0.736095,0.068362,0.785917,0.9959,Right
157,5380.000,0.047672,0.851125,0.167120,0.610097,0.110590,0.625663,0.059621,0.674536,0.9984,Right
158,5413.311,0.068175,0.773076,0.158799,0.509384,0.107990,0.523763,0.061835,0.571173,0.9988,Right
159,5446.633,0.078245,0.683419,0.159746,0.415166,0.111705,0.415297,0.066974,0.449455,0.9948,Right
160,5479.944,0.086830,0.596197,0.162166,0.339587,0.115791,0.329353,0.072759,0.352227,0.9921,Right
161,5513.256,0.083687,0.519650,0.164453,0.301855,0.126068,0.277228,0.087193,0.279267,0.9690,Right
162,5546.567,0.087570,0.446369,0.161274,0.234921,0.125953,0.210828,0.091529,0.214190,0.9642,Right
163,5579.889,0.114429,0.399268,0.188585,0.146802,0.150232,0.121226,0.112432,0.129950,0.9921,Right
164,5613.200,0.137618,0.351371,0.215346,0.061440,0.172139,0.041358,0.133367,0.060547,0.9949,Right
165,5646.511,0.153669,0.302002,0.230156,0.021748,0.185413,0.006980,0.144614,0.029926,0.9946,Right
166,5679.833,0.160659,0.289877,0.239830,0.027510,0.194638,0.011465,0.152999,0.033491,0.9949,Right
167,5713.144,0.158608,0.308263,0.240499,0.048610,0.196275,0.033297,0.154543,0.054533,0.9949,Right
168,5746.456,0.160012,0.340075,0.231207,0.078088,0.187974,0.070080,0.147541,0.095612,0.9973,Right
169,5779.778,0.154189,0.383626,0.229426,0.135010,0.182704,0.131081,0.139749,0.158940,0.9962,Right
170,5813.089,0.155104,0.434979,0.221276,0.203552,0.172937,0.208578,0.129189,0.245355,0.9861,Right
171,5846.400,0.143180,0.504220,0.214295,0.279868,0.163095,0.291874,0.118381,0.337253,0.9646,Right
172,5879.722,0.145657,0.549276,0.208669,0.401836,0.154884,0.424854,0.110290,0.473256,0.9730,Right
173,5913.033,0.145001,0.662898,0.211749,0.530113,0.157597,0.547380,0.111281,0.590572,0.8797,Right
174,5946.344,0.140126,0.768335,0.212045,0.660008,0.160237,0.668224,0.113007,0.704322,0.8543,Right
175,5979.667,0.126546,0.862114,0.182624,0.801268,0.161828,0.771770,0.143758,0.765282,0.5924,Left
176,6012.978,,,,,,,,,,
177,6046.289,,,,,,,,,,
178,6079.611,,,,,,,,,,
179,6112.922,,,,,,,,,,
180,6146.233,,,,,,,,,,
181,6179.556,0.080359,0.873936,0.226704,0.800479,0.178338,0.793438,0.128357,0.818043,0.9930,Right
182,6212.867,0.106937,0.822461,0.187144,0.740303,0.134543,0.770064,0.087439,0.816672,0.9900,Right
183,6246.178,0.068549,0.855501,0.191832,0.607728,0.138481,0.619223,0.087770,0.669361,0.9987,Right
184,6279.500,0.079619,0.778864,0.175531,0.499696,0.128540,0.509788,0.083867,0.555184,0.9988,Right
185,6312.811,0.088832,0.685325,0.175060,0.409100,0.128244,0.410135,0.084411,0.446704,0.9946,Right
186,6346.122,0.102163,0.599120,0.177591,0.316970,0.130663,0.311604,0.087011,0.339880,0.9898,Right
187,6379.444,0.112279,0.526585,0.187585,0.233369,0.140996,0.221656,0.097423,0.245962,0.9896,Right
188,6412.756,0.119686,0.453229,0.197019,0.158817,0.151874,0.143319,0.109540,0.163281,0.9931,Right
189,6446.067,0.138153,0.391212,0.212419,0.083746,0.165608,0.068230,0.123659,0.093176,0.9947,Right
190,6479.378,0.148782,0.328639,0.226794,0.033300,0.178743,0.021078,0.135504,0.048510,0.9937,Right
191,6512.700,0.155124,0.307010,0.232468,0.026136,0.186533,0.012380,0.144192,0.036353,0.9955,Right
192,6546.011,0.157825,0.302508,0.238350,0.023251,0.190744,0.010023,0.146329,0.033413,0.9958,Right
193,6579.322,0.154600,0.317747,0.233200,0.040691,0.186444,0.025402,0.142671,0.049709,0.9964,Right
194,6612.644,0.150541,0.349012,0.222563,0.069852,0.175314,0.059481,0.131713,0.086218,0.9971,Right
195,6645.956,0.142152,0.388166,0.207864,0.122133,0.160798,0.116648,0.118156,0.146497,0.9937,Right
196,6679.267,0.135374,0.443079,0.201621,0.174663,0.148801,0.176936,0.101442,0.216444,0.9949,Right
197,6712.589,0.116683,0.493074,0.182520,0.269208,0.130063,0.284603,0.083343,0.334401,0.9776,Right
198,6745.900,0.061606,0.847034,0.174953,0.650849,0.140136,0.680471,0.094917,0.710770,0.9980,Left
199,6779.211,0.106418,0.632492,0.166255,0.530406,0.115692,0.547930,0.072616,0.585333,0.8642,Right
200,6812.533,0.121254,0.789110,0.191642,0.684241,0.144014,0.675598,0.097000,0.696465,0.9401,Right
201,6845.844,0.140358,0.820760,0.108402,0.825079,0.142706,0.822322,0.174568,0.826158,0.9517,Left
202,6879.156,,,,,,,,,,
203,6912.478,,,,,,,,,,
204,6945.789,,,,,,,,,,
205,6979.100,,,,,,,,,,
206,7012.422,,,,,,,,,,
207,7045.733,,,,,,,,,,
208,7079.044,,,,,,,,,,
209,7112.356,0.014905,0.911724,0.147127,0.837127,0.108602,0.831521,0.066116,0.848746,0.9928,Right
210,7145.678,0.012236,0.877347,0.114487,0.791406,0.079321,0.800888,0.042057,0.834666,0.9989,Right
211,7178.989,0.005759,0.835613,0.108073,0.764034,0.069775,0.804935,0.033696,0.850275,0.9941,Right
212,7212.300,0.039026,0.815310,0.100106,0.787122,0.073161,0.837811,0.050088,0.877833,0.6427,Left
213,7245.622,0.030225,0.778599,0.129241,0.783199,0.104772,0.817102,0.076038,0.849795,0.8132,Right
214,7278.933,0.069078,0.780692,0.170400,0.595449,0.122289,0.588541,0.073832,0.612648,0.9979,Right
215,7312.244,0.088397,0.787648,0.174193,0.543595,0.124480,0.571880,0.077632,0.623644,0.9912,Right
216,7345.567,0.121271,0.767214,0.234820,0.496567,0.181529,0.505452,0.129169,0.553089,0.9990,Right
217,7378.878,0.131401,0.710044,0.294312,0.466153,0.249754,0.470941,0.198547,0.513358,0.9944,Right
218,7412.189,0.150627,0.660674,0.362503,0.460335,0.323752,0.457350,0.279463,0.490526,0.9975,Right
219,7445.511,0.192822,0.609498,0.409799,0.433877,0.387255,0.443709,0.355949,0.481195,0.9979,Right
220,7478.822,0.247625,0.591038,0.473001,0.414737,0.450212,0.430785,0.417454,0.474645,0.9972,Right
221,7512.133,0.300709,0.584732,0.512780,0.419171,0.493276,0.436448,0.463846,0.483179,0.9972,Right
222,7545.456,0.343913,0.575690,0.560991,0.430762,0.536555,0.439801,0.501859,0.482947,0.9982,Right
223,7578.767,0.356604,0.586462,0.568562,0.430820,0.550204,0.447243,0.519971,0.495385,0.9977,Right
224,7612.078,0.358325,0.571561,0.576355,0.436065,0.557804,0.445138,0.524097,0.489543,0.9984,Right
225,7645.400,0.332898,0.578905,0.555603,0.439418,0.528543,0.454223,0.489955,0.497651,0.9971,Right
226,7678.711,0.285898,0.585499,0.507558,0.430356,0.483954,0.445419,0.449115,0.490835,0.9977,Right
227,7712.022,0.232609,0.580337,0.441684,0.411975,0.416959,0.423670,0.384111,0.468217,0.9973,Right
228,7745.344,0.177890,0.590441,0.384907,0.405520,0.349172,0.432093,0.307477,0.485984,0.9955,Right
229,7778.656,0.141965,0.613757,0.326210,0.406478,0.275683,0.428484,0.221155,0.480797,0.9967,Right
230,7811.967,0.121329,0.650291,0.254953,0.418102,0.196291,0.438156,0.139298,0.491504,0.9944,Right
231,7845.278,0.072854,0.636934,0.173246,0.434818,0.124631,0.440829,0.082173,0.476275,0.9967,Right
232,7878.600,,,,,,,,,,
233,7911.911,,,,,,,,,,
234,7945.222,,,,,,,,,,
235,7978.544,,,,,,,,,,
236,8011.856,,,,,,,,,,
237,8045.167,,,,,,,,,,
238,8078.489,,,,,,,,,,
239,8111.800,,,,,,,,,,
